url,name,brand,price,rating,description
https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/gokujyun-ultimate-moisturizing-lotion-2,Gokujyun Ultimate Moisturizing Lotion,Hada Labo,Rp. 29.000,4.4,"DESCRIPTION Hada Labo Gokujyun Ultimate Moisturizing Lotion adalah lotion pelembab yang mengandung 3 jenis Hyaluronic Acid untuk membantu meningkatkan kelembaban pada kulit dan mempertahankan keseimbangan serta kelembaban kulit. Lotion ini dapat mengunci kelembaban di dalam kulit sehingga kulit terhidrasi dengan baik. Kulit akan terasa lebih halus, lembut dan tetap elastis. Mengandung alkohol sebagai astringent yang mengurangi produksi minyak berlebih dan membuat kulit senantiasa terasa lebih segar.How To Use:Tuangkan lotion secukupnya pada telapak tangan, usapkan ke seluruh wajah dalam keadaan bersih secara merata. Tepuk-tepuk kulit wajah dengan lembut, lalu biarkan hingga meresap.Suitable For:Kulit berminyakIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/some-by-mi/30-days-miracle-toner,AHA BHA PHA 30 Days Miracle Toner,Some by Mi,Rp. 189.000,3.6,"DESCRIPTION Some by Mi AHA BHA PHA 30 Days Miracle Toner merupakan toner yang mengandung AHA, BHA, dan PHA untuk menghilangkan kotoran dan serpihan kering dari permukaan wajah, menghilangkan kotoran tersumbat dan sebum (minyak) pada pori-pori wajah, serta mencegah kulit kering dan menghancurkan sel kulit mati.How to use:Tuang produk secukupnya pada kapas. Usapkan pada wajah yang telah dibersihkanSuitable for:Kulit berjerawat, Kulit berminyakIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/air-mawar,Air Mawar,Viva Cosmetics,Rp. 4.800,4.1,DESCRIPTION Viva Cosmetics Air Mawar mengandung sari bunga mawar dan aroma bunga mawar yang biasa digunakan sebagai campuran bubuk masker dan lulur. Aromanya dapat menenangkan kulit wajah. Kemasannya praktis dan higienis sehingga mudah dibawa.How To Use:Gunakan Viva Air Mawar sebagai campuran masker atau lulur.Suitable For:Semua jenis kulitIngredients:-
https://reviews.femaledaily.com/products/cleanser/toner/cosrx/aha-bha-clarifying-treatment-toner,AHA/BHA Clarifying Treatment Toner,Cosrx,Rp. 190.000,4.0,"DESCRIPTION Cosrx AHA/BHA Clarifying Treatment Toner merupakan toner dengan kandungan bahan-bahan natural dan air mineral. Produk ini lebih dari sekedar toner biasa, karena memiliki kandungan AHA/BHA organik yang dapat berfungsi sebagai exfoliating toner.Selain membantu mengatasi masalah komedo (whiteheads, blackheads) dan jerawat, Cosrx AHA/BHA Clarifying Treatment Toner membantu menghidrasi dan meremajakan kulit sehingga dapat menjadikan kulit sehat dan flawless. How to use:Aplikasikan pada wajah yang sudah dibersihkan setiap pagi dan malam hari dengan menggunakan kapas.Suitable for:Semua jenis kulit.Ingredients:Mineral Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Water, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol"
https://reviews.femaledaily.com/products/cleanser/toner/avoskin/avoskin-miraculous-refining-toner-1,Miraculous Refining Toner,AVOSKIN,,4.2,"DESCRIPTION Reformulation in 2022AVOSKIN Miraculous Refining Toner dikombinasikan dari AHA-BHA-PHA+ Niacinamide + 2% Tea Tree + Witch Hazel dan Aloe Vera yang bekerja secara efektif sebagai eksfoliator kulit dan mencerahkan kulit. How to Use :Setelah membersihkan wajah, tuang secukupnya pada kapas, usap dari area tengah wajah ke arah luar dengan gerakan ke atas dan biarkan menyerap. Hindari area mata. Tidak perlu dibilas. Gunakan dua kali sehari.Untuk hasil yang maksimal, gunakan Miraculous Refining Serum setelahnya.Ingredients :Water, Glycerin, Glycolic Acid, Butylene Glycol, Propylene Glycol, Gluconolactone, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Niacinamide, Chamomilla Recutita (Matricaria) Flower Extract, Rubus Idaeus (Raspberry) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Salicylic Acid, Acer Saccharum (Sugar Maple) Extract, Portulaca Oleracea Extract, Aloe Barbadensis Leaf Juice, Amylopectin, Dextrin, Xanthan Gum, Tetrasodium EDTA, Sodium Hydroxymethylglycinate, Polyglutamic Acid."
https://reviews.femaledaily.com/products/cleanser/toner/imju-naturie/skin-conditioner-90,Hatomugi Skin Conditioner,Imju Naturie,Rp. 115.000,4.3,"DESCRIPTION Naturie Hatomugi Skin Conditioner merupakan toner lotion untuk mempertahankan kondisi kulit dengan meningkatkan hidrasi. Diformulasikan dengan ekstrak Hatomugi, bahan pelembab alami.How to use:Oleskan setelah pembersihan, dan sebelum serum atau pelembab. Tuangkan seperempat ukuran lotion ke telapak tangan. Tepuk dengan lembut pada kulit Anda.Suitable for:Semua jenis kulitIngrediets:Water(Aqua), Dipropylene Glycol, Butylene Glycol, Glycerin, Dipotassium Glycyrrhizate, Coix Lacryma- Jobi (Job’s Tears) Seed Extract, Styrene/Acrylates Copolymer, Alcohol, Citric Acid, Sodium Citrate, Methylparaben, Propylparaben"
https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-green-tea,Face Tonic,Viva Cosmetics,Rp. 5.950,4.1,"DESCRIPTION Viva Cosmetics Face Tonic adalah penyegar wajah untuk kulit berjerawat yang berfungsi membersihkan sisa-sisa susu pembersih. menyegarkan kulit, mengecilkan tampilan pori-pori, dan menjaga pH kulit. Mengandung ekstrak teh hijau sebagai anti oksidan dan tea tree oil untuk membantu mencegah timbulnya jerawat.How To Use:Tuangkan Viva Face Tonic Green Tea pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser atau Viva Queen Peelling Cream dan Viva Face Masker. Suitable For:Kulit berjerawatIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/pyunkang-yul/pyunkang-yul-essence-toner,Essence Toner,Pyunkang Yul,Rp. 200.000,4.4,"DESCRIPTION Pyunkang Yul Essence Toner merupakan toner yang mengandung 91.3% Milk Vetch Root Extract untuk membuat kulit tetap sehat dan segar, membantu melembabkan kulit dan menjaga elastisitas kulit Anda. Dengan tekstur padat dan kental yang menyerap dengan baik ke dalam kulit untuk hasil akhir yang lembab namun halus dan bersihHow to use:Tuang secukupnya pada kapas. Aplikasikan secara lembut dengan mengikuti garis-garis pada kulit Anda. Balikkan kapasnya dan tepuk secara ringan agar isinya dapat terserapSuitable for:Semua jenis kulitIngredients:Astragalus Membranaceus Root Extract, 1,2-Hexanediol, Butylene Glycol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Hydroxyethylcellulose, Carbomer, Arginine"
https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/ultimate-moisturizing-light-lotion,Gokujyun Ultimate Moisturizing Light Lotion,Hada Labo,Rp. 30.000,4.3,"DESCRIPTION Hada Labo Gokujyun Ultimate Moisturizing Light Lotion adalah lotion yang dikhususkan untuk kulit berminyak. Mengandung 3 jenis Hyaluronic Acid untuk membantu meningkatkan kelembaban pada kulit dan mempertahankan keseimbangan serta kelembaban kulit. Formulanya dapat mengunci kelembaban di dalam kulit agar kulit terhidrasi dengan baik. Kulit akan terasa lebih halus, lembut dan tetap elastis. Mengandung alkohol sebagai astringent untuk mengurangi produksi minyak berlebih dan membuat kulit terasa lebih segar.How To Use:Tuangkan secukupnya pada telapak tangan. Usapkan ke seluruh wajah yang dalam keadaan bersih secara merata. Tepuk-tepuk kulit wajah dengan lembut biarkan hingga meresap.Suitable For:Kulit berminyakIngredients:-"
https://reviews.femaledaily.com/products/cleanser/toner/benton/aloe-bha-toner,Aloe BHA Skin Toner,Benton,Rp. 230.000,4.0,"DESCRIPTION Benton Aloe BHA Skin Toner merupakan penyegar wajah yang mengandung aloe dan salicylic acid yang mampu menghidrasi kulit dan mempersiapkan wajah untuk menggunakan perawatan kulit wajah selanjutnya. Produk ini mampu melembabkan dan melembutkan wajah serta mengangkat semua kotoran dan jerawat menjadi kempes.How to Use:Aplikasikan pada wajah bersamaan dengan menggunakan kapas.Suitable for:Semua jenis kulit.Ingredients:Aloe Barbadensis Leaf Water (58%), Glycerin, Sodium Hyaluronate, Aloe Barbadensis Leaf Extract, Snail Secretion Filtrate, Salicylic Acid (0.5%), Beta-Glucan, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Polyglutamic Acid, Portulaca Oleracea Extract, Psidium Guajava Fruit Extract, Aspalathus Linearis Extract, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Acrylates/C10-30 Alkyl Acrylate Cross Polymer."
